ID,采购日期,采购编号,采购名称,商品名称,零售价,折扣,供应商,采购箱,采购盒,采购包,到货箱,到货盒,到货包,相差箱,相差盒,相差包,拿货单价箱,拿货单价盒,拿货单价包,应付金额箱,应付金额盒,应付金额包,应付总金额,实付金额,未支付金额,创建时间
1381,2025-11-17,PUSH-A86J63B72MW,2025-11-17名侦探柯南挂件-星绽版-第1弹,名侦探柯南挂件-星绽版-第1弹,19440,49.88,咸鱼,0,17,0,0,0,0,0,17,0,9697.5,269.37,22.44,0,4579.29,0,4579.29,4995,-415.71,2025-11-24 14:39:42
1380,2025-11-17,PUSH-56JYPCJ7356,2025-11-17卡游柯南揭秘包1元包,卡游柯南揭秘包1元包,8208,122.12,江西小精灵,1,0,0,0,0,0,1,0,0,10023.21,208.81,5.8,10023.21,0,0,10023.21,10023.21,0,2025-11-24 14:36:25
1378,2025-11-17,PUSH-F52Z9D11LX9,2025-11-17灵魂重生收藏卡,灵魂重生收藏卡,24300,24.32,杭州敏冉,1,0,0,0,0,0,1,0,0,5910.75,246.28,16.41,5910.75,0,0,5910.75,5910.75,0,2025-11-24 13:39:41
1371,2025-10-24,PUSH-27JQ71Z69NR,2025-10-24迪士尼欢乐盛典系列收藏卡,迪士尼欢乐盛典系列收藏卡,22686,24.8,奥斯卡,1,0,0,1,0,0,0,0,0,5625,234.37,23.43,5625,0,0,5625,5625,0,2025-11-21 13:21:53
1370,2025-10-24,PUSH-G4B9C8572TW,2025-10-24迪士尼群星运动会系列收藏卡,迪士尼群星运动会系列收藏卡,9120,33.75,奥斯卡,0,95,0,0,95,0,0,0,0,3078,64.12,3.2,0,6091.4,0,6091.4,5557.5,533.9,2025-11-21 13:20:15
1369,2025-10-24,PUSH-HC1F2K1263Y,2025-10-24迪士尼公主魔法童话系列收藏卡,迪士尼公主魔法童话系列收藏卡,22800,34.54,奥斯卡,0,6,0,0,6,0,0,0,0,7875,328.12,32.81,0,1968.72,0,1968.72,1968.75,-0.03,2025-11-21 13:17:39
1368,2025-10-24,PUSH-2H29KN85N3V,2025-10-24冰雪奇缘四季流光收藏卡,冰雪奇缘四季流光收藏卡,22800,6.45,奥斯卡,0,10,0,0,10,0,0,0,0,1470,61.25,6.12,0,612.5,0,612.5,2835,-2222.5,2025-11-21 13:15:01
1367,2025-10-24,PUSH-J6A5577KBA9,2025-10-24米奇纪念版收藏卡奇遇记,米奇纪念版收藏卡奇遇记,22800,4.34,奥斯卡,1,16,0,1,16,0,0,0,0,990,41.25,4.12,990,660,0,1650,2880,-1230,2025-11-21 13:07:38
1366,2025-10-24,PUSH-25Q5K5F14HC,2025-10-24星际宝贝趣玩版收藏卡,星际宝贝趣玩版收藏卡,11400,37.89,奥斯卡,0,7,0,0,7,0,0,0,0,4320,90,18,0,630,0,630,630,0,2025-11-21 13:02:49
1353,2025-10-24,PUSH-U3E1O98B26R,2025-10-24小黄人系列奇趣收藏卡第一弹,小黄人系列奇趣收藏卡第一弹,23598,10.3,奥斯卡,0,3,0,0,3,0,0,0,0,2430,67.5,6.75,0,202.5,0,202.5,202.5,0,2025-11-18 16:02:06
1340,2025-10-24,PUSH-K3NW4Q42W68,2025-10-24皮克斯37周年奥斯卡荣誉收藏卡,皮克斯37周年奥斯卡荣誉收藏卡,44460,14.51,奥斯卡,1,12,0,1,12,0,0,0,0,6453,358.5,35.85,6453,4302,0,10755,10665,90,2025-11-10 18:15:22
1339,2025-10-24,PUSH-UT45L71HV29,2025-10-24迪士尼100周年欢乐收藏卡,迪士尼100周年欢乐收藏卡,22686,22.02,奥斯卡,1,10,0,1,10,0,0,0,0,4995,138.75,13.87,4995,1387.5,0,6382.5,6345,37.5,2025-11-10 18:13:36
1338,2025-10-24,PUSH-1T284Z8LCQ7,2025-10-24三丽鸥票根珍藏卡,三丽鸥票根珍藏卡,30780,15.63,奥斯卡,0,13,0,0,13,0,0,0,0,4811.4,133.65,6.68,0,1737.45,0,1737.45,1737.45,0,2025-11-10 18:10:30
1337,2025-11-06,PUSH-R7X628L37PX,2025-11-06漫卡王x海贼王典藏臻品包第一弹,?????? ??? 漫卡王x海贼王典藏臻品包第一弹,24795,13.59,奥斯卡,1,0,0,1,0,0,0,0,0,3370.5,93.62,7.2,3370.5,0,0,3370.5,3370.5,0,2025-11-10 18:05:23
1336,2025-11-06,PUSH-O53J91C6GB1,2025-11-06小酷文创第二弹《航海王·探索神秘岛》,?????? ??? 小酷文创第二弹《航海王·探索神秘岛》,23598,9.52,奥斯卡,1,0,0,0,0,0,1,0,0,2245.5,62.37,5.19,2245.5,0,0,2245.5,2245.5,0,2025-11-10 18:04:17
1334,2025-11-03,PUSH-F44FF26D19G,2025-11-03咕咕谷恋与深空,???? love  咕咕谷恋与深空吧唧,8464.5,50.45,奥斯卡,1,0,0,1,0,0,0,0,0,4270.5,142.35,23.72,4270.5,0,0,4270.5,4270.5,0,2025-11-10 18:02:47
1333,2025-11-03,PUSH-595V3W8SQ1Q,2025-11-03totem潮玩恋与深空,?????????? ???????????? totem潮玩恋与深空,11072.5,23.53,奥斯卡,1,0,0,0,0,0,1,0,0,2605.5,28.95,14.47,2605.5,0,0,2605.5,2605.5,0,2025-11-10 18:01:35
1332,2025-11-03,PUSH-31BD3CQ43N5,2025-11-03欧恋文创 恋与深空色纸,欧恋文创 恋与深空色纸,11343,20.15,奥斯卡,2,0,0,2,0,0,0,0,0,2286,95.25,19.05,4572,0,0,4572,4572,0,2025-11-10 17:58:28
1331,2025-11-06,PUSH-4NB38OS2J25,2025-11-06Bling文创恋与深空,Bling文创恋与深空,21890,10.36,奥斯卡,1,0,0,1,0,0,0,0,0,2268,103.09,20.61,2268,0,0,2268,2268,0,2025-11-10 17:54:47
1330,2025-11-08,PUSH-E4A9O4L835T,2025-11-08辰星文创名侦探柯南典藏色纸三弹,辰星文创名侦探柯南典藏色纸三弹,8507.25,38.03,奥斯卡,1,0,0,1,0,0,0,0,0,3235.5,215.7,35.95,3235.5,0,0,3235.5,3235.5,0,2025-11-10 17:44:35
1329,2025-11-08,PUSH-Z9J51W15O2E,2025-11-08幻境文创 × 恋与深空撕撕乐,???????? 幻境文创 × 恋与深空撕撕乐,14912.63,18.68,奥斯卡,1,0,0,1,0,0,0,0,0,2785.5,26.52,8.84,2785.5,0,0,2785.5,2785.5,0,2025-11-10 17:43:58
1312,2025-10-17,PUSH-VEQU835L358,2025-10-17???? 御卡族鬼灭之刃,???? 御卡族鬼灭之刃,12960,34.5,奥斯卡,2,0,0,2,0,0,0,0,0,4470.75,124.18,9.55,8941.5,0,0,8941.5,8941.5,0,2025-11-03 11:07:26
1311,2025-10-15,PUSH-H28OFW55G77,2025-10-15春风文创鬼灭吧唧第5弹,???????????? ??????????? 春风文创鬼灭吧唧第5弹,13680,36.63,奥斯卡,1,0,0,1,0,0,0,0,0,5010.75,27.83,27.83,5010.75,0,0,5010.75,5010.75,0,2025-11-03 11:06:29
1310,2025-10-15,PUSH-V9S679Y6NT8,2025-10-15光谷文创鬼灭吧唧,???????????????? 光谷文创鬼灭吧唧,12960,18.87,奥斯卡,1,0,0,1,0,0,0,0,0,2445.75,81.52,13.58,2445.75,0,0,2445.75,2445.75,0,2025-11-03 11:03:40
1275,2025-09-15,PUSH-6H2VSP737D3,2025-09-15Hellocard美少女战士月之绮梦舞会,Hellocard美少女战士月之绮梦舞会,20736,18.88,奥斯卡,1,0,0,1,0,0,0,0,0,3915,108.75,8.36,3915,0,0,3915,3915,0,2025-10-25 22:18:15
1240,2025-09-19,PUSH-61DT27MO46A,250919采购欧漫柯南撕撕乐 1箱,欧漫文创柯南撕撕乐第1弹,6727.5,22.9,咸鱼,1,0,0,1,0,0,0,0,0,1540.49,30.8,10.26,1540.48,0,0,1540.48,1540.49,0,2025-10-21 15:02:09
1239,2025-09-19,PUSH-Q1PM5M98C38,250919采购bling文创恋与深空色纸 1箱,Bling文创恋与深空,21890,11.52,奥斯卡,1,0,0,1,0,0,0,0,0,2522.12,114.64,22.92,2522.11,0,0,2522.11,2522.12,0,2025-10-21 15:01:05
1238,2025-09-16,PUSH-SJYVU746527,250919采购羽溯小樱魔法印记 1箱,?????? 羽溯文创魔卡少女樱--时光印记,16038,16.25,咸鱼,1,0,0,1,0,0,0,0,0,2606.4,72.4,5.56,2606.4,0,0,2606.4,2606.4,0,2025-10-21 14:59:42
1237,2025-09-19,PUSH-838O77DDTS3,250919采购欧梦鬼灭 1箱,鬼灭之刃,52974,5.87,咸鱼,1,0,0,1,0,0,0,0,0,3109.95,86.38,6.64,3109.95,0,0,3109.95,3109.95,0,2025-10-21 14:41:03
1236,2025-09-19,PUSH-192K7F4UF1L,250919采购御卡族鬼灭 1箱,???? 御卡族鬼灭之刃,12960,9.59,咸鱼,1,0,0,1,0,0,0,0,0,3994.65,110.96,8.53,3994.65,0,0,3994.65,3994.65,0,2025-10-21 14:39:55
